stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
BDSRgQTg,BDSRgQTg,MUTTUKADU,12.83169,80.24042,0
EjMZgDJt,EjMZgDJt,KANATHUR MEERA NAGAR,12.84155,80.24049,0
WDOOnJlC,WDOOnJlC,KANATHUR,12.85188,80.2413,0
qLEwgwyN,qLEwgwyN,UTHANDI TOLL GATE OR RAGASH COLLEGE,12.85977,80.24185,0
BzJNmTUM,BzJNmTUM,ANANDBAGH,12.86508,80.2424,0
ebBIwNsf,ebBIwNsf,UTHANDI,12.86856,80.24347,0
yhYCDbZJ,yhYCDbZJ,NAINAR KUPPAM OR UTHANDI COLONY,12.87787,80.24371,0
sAYtjSkX,sAYtjSkX,PANAIYUR,12.88705,80.24565,0
yGnjFAhM,yGnjFAhM,AKKARAI WATER SUPPLY HEAD WORK,12.89831,80.24756,0
iWUiEObr,iWUiEObr,VGP GOLDEN BEACH,12.91392,80.25028,0
RwWmKtXH,RwWmKtXH,INJAMBAKKAM,12.91883,80.25078,0
YBtfPRlp,YBtfPRlp,BETHAL NAGAR,12.92476,80.25115,0
aBlpKWpT,aBlpKWpT,INJAMBAKKAM SAI BABA TEMPLE,12.92749,80.25125,0
aHnvxyXJ,aHnvxyXJ,VETTUVAKENI,12.9384,80.25267,0
UWROvtjV,UWROvtjV,ANNA SALAI BHUARI HOTEL,12.94223,80.25325,0
YpZAWuci,YpZAWuci,NEELANKARAI,12.94965,80.25475,0
QzSmToFg,QzSmToFg,ICE FACTORY,12.95409,80.25512,0
jiBUapiv,jiBUapiv,PALAVAKKAM,12.96123,80.25613,0
gHkojtqc,gHkojtqc,KOTTIVAKKAM,12.96956,80.2577,0
QPpuxtew,QPpuxtew,THIRUVALLUVAR NAGAR RTO,12.97676,80.25906,0
8651ccb47775d4a4c4239e9b0ac9659b,8651ccb47775d4a4c4239e9b0ac9659b,THIRUVANMIYUR DEPOT,12.98698,80.25807,0
